English,Indonesia
behind,di belakang
knowledge,pengetahuan
test,tes
response,tanggapan
largely,sebagian besar
sea,laut
reached,dicapai
president,presiden
wide,lebar
night,malam
operations,operasi
supported,didukung
act,bertindak
training,pelatihan
reason,alasan
Britain,Britania
list,daftar
issues,masalah
occur,terjadi
loss,kehilangan
the,itu
government,pemerintah
reduced,berkurang
active,aktif
remain,tetap
lack,kekurangan
to,ke
do,Mengerjakan
clear,jernih
gas,gas
island,pulau
cells,sel
taking,memukau
contains,berisi
takes,dibutuhkan
approximately,sekitar
exist,ada
basis,dasar
distance,jarak
independent,mandiri
intended,disengaja
elected,terpilih
product,produk
adopted,diadopsi
actually,Sebenarnya
wife,istri
ended,berakhir
born,dilahirkan
Christian,Kristen
keep,menyimpan
potential,potensi
course,kursus
matter,urusan
love,Cinta
issue,masalah
objects,objek
things,hal-hal
heavy,berat
oil,minyak
center,tengah
regular,biasa
George,George
the,itu
following,mengikuti
divided,terbagi
eight,delapan
date,tanggal
James,Yakobus
summer,musim panas
direction,arah
laws,hukum
numerous,banyak sekali
account,akun
income,penghasilan
concept,konsep
plan,rencana
announced,diumumkan
Russian,Rusia
failed,gagal
applied,terapan
values,nilai-nilai
northern,utara
proposed,diajukan
ships,kapal
resulting,dihasilkan
estimated,diperkirakan
appears,muncul
continue,melanjutkan
Canada,Kanada
red,merah
married,telah menikah
object,obyek
studies,studi
media,media
engine,mesin
passed,lulus
Henry,Henry
Australia,Australia
machine,mesin
quality,kualitas
founded,didirikan
hold,memegang
say,mengatakan
parties,pesta
letter,surat
Japan,Jepang
expected,mengharapkan
treatment,perlakuan
normal,normal
signal,sinyal
blood,darah
financial,finansial
status,status
video,video
older,lebih tua
carried,telah membawa
compared,dibandingkan
know,tahu
wanted,diinginkan
accepted,diterima
via,melalui
read,membaca
each,setiap
other,lainnya
types,jenis
of,dari
turned,berbalik
unit,satuan
feature,fitur
southern,selatan
increasing,meningkat
met,bertemu
prevent,mencegah
songs,lagu
applications,aplikasi
require,memerlukan
opened,dibuka
marriage,pernikahan
contain,berisi
equipment,peralatan
playing,bermain
section,bagian
remaining,tersisa
properties,properti
asked,diminta
the,itu
case,kasus
ten,sepuluh
Charles,Charles
activity,aktivitas
whom,yang
ways,cara
buildings,bangunan
basic,dasar
probably,mungkin
running,berlari
materials,bahan
stories,cerita
edition,edisi
location,lokasi
noted,dicatat
cell,sel
analysis,analisa
Russia,Rusia
Rome,Roma
removed,DIHAPUS
becomes,menjadi
paper,kertas
activities,kegiatan
billion,miliar
fall,jatuh
child,anak
cut,memotong
operating,beroperasi
degree,derajat
ship,mengirimkan
occurs,terjadi
less,lebih sedikit
than,dibandingkan
novel,novel
completely,sama sekali
except,kecuali
inside,di dalam
Robert,Robert
troops,pasukan
Jewish,Yahudi
report,laporan
call,panggilan
flow,mengalir
metal,logam
appointed,ditunjuk
offered,ditawarkan
told,diberi tahu
frequency,frekuensi
initial,awal
campaign,kampanye
discovered,telah menemukan
definition,definisi
historical,historis
models,model
allowing,memungkinkan
operation,operasi
police,POLISI
poor,miskin
weight,berat
not,bukan
have,memiliki
ancient,kuno
here,Di Sini
primarily,terutama
agreed,sepakat
hit,memukul
west,Barat
heat,panas
security,keamanan
David,Daud
claimed,diklaim
positive,positif
easily,dengan mudah
environment,lingkungan
scientific,ilmiah
going,pergi
regions,wilayah
ISBN,ISBN
ball,bola
tradition,tradisi
reach,mencapai
requires,memerlukan
St.,St.
extended,diperpanjang
charge,mengenakan biaya
female,perempuan
face,menghadapi
serve,melayani
equal,setara
Italy,Italia
letters,surat
refused,ditolak
immediately,langsung
believe,meyakini
supply,memasok
effective,efektif
internal,intern
versions,versi
cultural,kultural
leave,meninggalkan
th,th
mainly,terutama
negative,negatif
soldiers,tentara
question,pertanyaan
spread,menyebar
suggested,disarankan
